contract_id,vendor_name,contract_value,contract_date,department,procurement_type,location_state,duration_months,classification
IND-CTR-2023-0611,Aequs Aerospace,178,1/1/2023,Ministry of Defence (MoD),Radars,Uttar Pradesh,29,Standard
IND-CTR-2023-0782,Tata Power SED,211.93,1/1/2023,Indian Navy,Radars,Odisha,24,Standard
IND-CTR-2025-1520,Mazagon Dock Shipbuilders,190.55,1/1/2023,DRDO,Missiles,Madhya Pradesh,39,Standard
IND-CTR-2023-0011,Paras Defence & Space Technologies,473,2/1/2023,DRDO,Radars,Uttarakhand,30,Standard
IND-CTR-2023-0877,Avantel,67.02,3/1/2023,DRDO,Ammunition,Gujarat,10,Standard
IND-CTR-2025-0736,Samtel Avionics,734.6,3/1/2023,ISRO,Radars,Uttar Pradesh,25,Major
IND-CTR-2023-0247,Ordnance Factory Board,62.8,4/1/2023,DRDO,Communications,Haryana,14,Standard
IND-CTR-2024-1080,Alpha Design Technologies,12.75,4/1/2023,DRDO,Maintenance & MRO,Manipur,15,Small
IND-CTR-2023-1363,Ananth Technologies,254.44,5/1/2023,Indian Army,Vehicles,Sikkim,18,Standard
IND-CTR-2024-0133,Ordnance Factory Board,306.82,5/1/2023,Indian Navy,Artillery,Odisha,21,Standard
IND-CTR-2024-1041,Godrej Aerospace,25.83,6/1/2023,DRDO,Maintenance & MRO,Mizoram,12,Small
IND-CTR-2023-0818,Alpha Design Technologies,99.3,7/1/2023,Indian Coast Guard,Drones/UAV,Madhya Pradesh,11,Standard
IND-CTR-2024-0596,Paras Defence & Space Technologies,457.68,8/1/2023,Indian Air Force,Engines,Odisha,28,Standard
IND-CTR-2024-0743,Tata Advanced Systems,16.39,8/1/2023,Indian Air Force,Training & Simulation,Tamil Nadu,13,Small
IND-CTR-2025-0928,Adani Defence & Aerospace,30.46,8/1/2023,Indian Coast Guard,IT Services,Odisha,11,Small
IND-CTR-2024-1744,Bharat Heavy Electricals Limited (BHEL),54.3,10/1/2023,DRDO,Communications,Madhya Pradesh,17,Standard
IND-CTR-2025-0369,Tata Power SED,17.12,10/1/2023,Indian Coast Guard,Drones/UAV,Manipur,9,Small
IND-CTR-2025-0410,VEM Technologies,300,10/1/2023,DRDO,Communications,Manipur,14,Standard
IND-CTR-2025-1292,Electronics Corporation of India Limited (ECIL),46.34,10/1/2023,ISRO,Ammunition,Meghalaya,9,Small
IND-CTR-2025-1891,DRDO - LRDE,135.35,11/1/2023,Ministry of Home Affairs (CAPF),Vehicles,Karnataka,24,Standard
IND-CTR-2023-0718,Bharat Dynamics Limited (BDL),349.26,12/1/2023,Indian Navy,Missiles,Punjab,25,Standard
IND-CTR-2025-1297,Saraswat Defence,319.72,13/1/2023,Indian Navy,Radars,Punjab,28,Standard
IND-CTR-2023-0365,Taneja Aerospace,208.74,14/1/2023,DRDO,Radars,Manipur,31,Standard
IND-CTR-2023-0683,DRDO - RCI,323.87,14/1/2023,Indian Coast Guard,Artillery,Jharkhand,30,Standard
IND-CTR-2025-0733,VEM Technologies,65.19,15/1/2023,ISRO,Electronics,Meghalaya,16,Standard
IND-CTR-2024-0563,Garden Reach Shipbuilders & Engineers,279.22,16/1/2023,ISRO,Artillery,Chhattisgarh,45,Standard
IND-CTR-2024-1280,Kalyani Strategic Systems,396.82,16/1/2023,DRDO,Helicopters,Uttarakhand,28,Standard
IND-CTR-2024-1472,Hindustan Aeronautics Limited (HAL),61.04,16/1/2023,Indian Coast Guard,Communications,Tamil Nadu,13,Standard
IND-CTR-2025-1164,VEM Technologies,6.78,16/1/2023,Indian Army,Maintenance & MRO,Maharashtra,14,Small
IND-CTR-2024-0249,Walchandnagar Industries,10.52,17/1/2023,Indian Army,IT Services,Assam,17,Small
IND-CTR-2023-1327,DRDO - LRDE,5.98,18/1/2023,Ministry of Defence (MoD),Maintenance & MRO,Uttarakhand,12,Small
IND-CTR-2024-1261,Samtel Avionics,50.3,18/1/2023,ISRO,Communications,Nagaland,17,Standard
IND-CTR-2025-1339,Centum Electronics,2318.22,19/1/2023,ISRO,Aircraft,Kerala,61,Major
IND-CTR-2025-1840,Hindustan Aeronautics Limited (HAL),45.28,19/1/2023,Indian Army,Communications,Jammu & Kashmir,24,Small
IND-CTR-2025-1816,Cochin Shipyard Limited,47.64,20/1/2023,Indian Coast Guard,IT Services,Chhattisgarh,25,Small
IND-CTR-2023-0470,Data Patterns,375.2,21/1/2023,ISRO,Radars,Maharashtra,43,Standard
IND-CTR-2024-0315,Hindustan Aeronautics Limited (HAL),1854.34,22/1/2023,Ministry of Home Affairs (CAPF),Naval Ships,Madhya Pradesh,66,Major
IND-CTR-2023-0207,Tata Power SED,106.74,23/1/2023,Ministry of Home Affairs (CAPF),Artillery,Sikkim,30,Standard
IND-CTR-2025-1980,Walchandnagar Industries,888.8,23/1/2023,Indian Navy,Satellites,Odisha,39,Major
IND-CTR-2024-1413,Alpha Design Technologies,74.58,25/1/2023,Ministry of Defence (MoD),Ammunition,Uttar Pradesh,16,Standard
IND-CTR-2025-0262,Alpha Design Technologies,209.5,25/1/2023,ISRO,Artillery,Nagaland,27,Standard
IND-CTR-2024-0162,Adani Defence & Aerospace,187.8,26/1/2023,Indian Army,IT Services,Arunachal Pradesh,27,Standard
IND-CTR-2025-0986,Electronics Corporation of India Limited (ECIL),39.74,28/1/2023,Indian Air Force,Communications,Punjab,23,Small
IND-CTR-2025-1978,Kalyani Strategic Systems,43.42,28/1/2023,DRDO,Electronics,Goa,17,Small
IND-CTR-2024-0472,DRDO - ADE,136.52,29/1/2023,Indian Navy,Radars,Chhattisgarh,27,Standard
